Lea State,LEA,School State,School,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
IN,DISCOVERY CHARTER SCHOOL,IN,DISCOVERY CHARTER SCHOOL,180008802495,2013,Students absent 15 or more school dates during school year,M,0.00,2.00,0.00,5.00,2.00,17.00,0.00,26.00,5.00,2.00,2.00
IN,DISCOVERY CHARTER SCHOOL,IN,DISCOVERY CHARTER SCHOOL,180008802495,2013,Students absent 15 or more school dates during school year,F,0.00,2.00,0.00,5.00,0.00,29.00,2.00,38.00,2.00,2.00,2.00
IN,DISCOVERY CHARTER SCHOOL,IN,DISCOVERY CHARTER SCHOOL,180008802495,2013,Total enrollment,M,0.00,8.00,0.00,20.00,11.00,206.00,8.00,253.00,22.00,8.00,8.00
IN,DISCOVERY CHARTER SCHOOL,IN,DISCOVERY CHARTER SCHOOL,180008802495,2013,Total enrollment,F,2.00,14.00,0.00,26.00,11.00,176.00,8.00,237.00,13.00,2.00,5.00
IN,INDIANA MATH SCIENCE ACADEMY NORTH,IN,IN MATH & SCIENCE ACAD NORTH,180009402487,2013,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,0.00,41.00,8.00,5.00,54.00,11.00,0.00,0.00
IN,INDIANA MATH SCIENCE ACADEMY NORTH,IN,IN MATH & SCIENCE ACAD NORTH,180009402487,2013,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,2.00,47.00,2.00,5.00,56.00,8.00,0.00,0.00
IN,INDIANA MATH SCIENCE ACADEMY NORTH,IN,IN MATH & SCIENCE ACAD NORTH,180009402487,2013,Total enrollment,M,0.00,2.00,0.00,8.00,248.00,29.00,20.00,307.00,46.00,0.00,2.00
IN,INDIANA MATH SCIENCE ACADEMY NORTH,IN,IN MATH & SCIENCE ACAD NORTH,180009402487,2013,Total enrollment,F,2.00,2.00,0.00,17.00,221.00,23.00,20.00,285.00,25.00,0.00,2.00
IN,CARPE DIEM - MERIDIAN CAMPUS,IN,CARPE DIEM - MERIDIAN CAMPUS,180012502536,2013,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,CARPE DIEM - MERIDIAN CAMPUS,IN,CARPE DIEM - MERIDIAN CAMPUS,180012502536,2013,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,CARPE DIEM - MERIDIAN CAMPUS,IN,CARPE DIEM - MERIDIAN CAMPUS,180012502536,2013,Total enrollment,M,0.00,2.00,0.00,2.00,53.00,23.00,11.00,91.00,22.00,0.00,0.00
IN,CARPE DIEM - MERIDIAN CAMPUS,IN,CARPE DIEM - MERIDIAN CAMPUS,180012502536,2013,Total enrollment,F,0.00,0.00,0.00,2.00,53.00,23.00,5.00,83.00,10.00,0.00,0.00
FL,CSUSA DONNAN,IN,EMMA DONNAN MIDDLE SCHOOL,180012700823,2013,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FL,CSUSA DONNAN,IN,EMMA DONNAN MIDDLE SCHOOL,180012700823,2013,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FL,CSUSA DONNAN,IN,EMMA DONNAN MIDDLE SCHOOL,180012700823,2013,Total enrollment,M,0.00,0.00,0.00,5.00,53.00,68.00,0.00,126.00,0.00,2.00,2.00
FL,CSUSA DONNAN,IN,EMMA DONNAN MIDDLE SCHOOL,180012700823,2013,Total enrollment,F,0.00,0.00,0.00,2.00,74.00,92.00,0.00,168.00,0.00,2.00,2.00
IN,BENTON COMMUNITY SCHOOL CORP,IN,BENTON CENTRAL JR-SR HIGH SCH,180048000097,2013,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,2.00,0.00,35.00,0.00,37.00,20.00,0.00,0.00
IN,BENTON COMMUNITY SCHOOL CORP,IN,BENTON CENTRAL JR-SR HIGH SCH,180048000097,2013,Students absent 15 or more school dates during school year,F,2.00,0.00,0.00,8.00,0.00,53.00,0.00,63.00,17.00,0.00,2.00
IN,BENTON COMMUNITY SCHOOL CORP,IN,BENTON CENTRAL JR-SR HIGH SCH,180048000097,2013,Total enrollment,M,2.00,0.00,2.00,26.00,2.00,401.00,5.00,438.00,136.00,26.00,8.00
IN,BENTON COMMUNITY SCHOOL CORP,IN,BENTON CENTRAL JR-SR HIGH SCH,180048000097,2013,Total enrollment,F,2.00,5.00,0.00,38.00,2.00,386.00,2.00,435.00,85.00,14.00,5.00
IN,BLACKFORD COUNTY SCHOOLS,IN,BLACKFORD JUNIOR HIGH SCHOOL,180057000103,2013,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,0.00,0.00,14.00,0.00,14.00,2.00,0.00,0.00
IN,BLACKFORD COUNTY SCHOOLS,IN,BLACKFORD JUNIOR HIGH SCHOOL,180057000103,2013,Students absent 15 or more school dates during school year,F,0.00,2.00,0.00,0.00,0.00,14.00,0.00,16.00,2.00,0.00,0.00
IN,BLACKFORD COUNTY SCHOOLS,IN,BLACKFORD JUNIOR HIGH SCHOOL,180057000103,2013,Total enrollment,M,0.00,0.00,0.00,2.00,0.00,158.00,5.00,165.00,25.00,2.00,2.00
IN,BLACKFORD COUNTY SCHOOLS,IN,BLACKFORD JUNIOR HIGH SCHOOL,180057000103,2013,Total enrollment,F,0.00,2.00,0.00,2.00,0.00,107.00,5.00,116.00,13.00,2.00,2.00
IN,PLYMOUTH COMMUNITY SCHOOL CORP,IN,LINCOLN JUNIOR HIGH SCHOOL,180906001499,2013,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,2.00,0.00,0.00
IN,PLYMOUTH COMMUNITY SCHOOL CORP,IN,LINCOLN JUNIOR HIGH SCHOOL,180906001499,2013,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00
IN,PLYMOUTH COMMUNITY SCHOOL CORP,IN,LINCOLN JUNIOR HIGH SCHOOL,180906001499,2013,Total enrollment,M,2.00,0.00,0.00,71.00,8.00,236.00,5.00,322.00,37.00,14.00,32.00
IN,PLYMOUTH COMMUNITY SCHOOL CORP,IN,LINCOLN JUNIOR HIGH SCHOOL,180906001499,2013,Total enrollment,F,2.00,2.00,0.00,74.00,2.00,227.00,5.00,312.00,19.00,5.00,35.00
