,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL,251.978391189903,0.0,251.936881437536,0.0,254.89524659554,0.0,258.421090379483,0.0,257.427838227608,0.0,258.753761500039,0.0,257.686520320925,0.0,253.398604872946
AK,258.721274696008,0.0,258.798455932602,0.0,259.449426538116,0.0,261.2852520164,0.0,261.256092625584,0.0,260.317018773005,0.0,257.667496756549,0.0,252.385089216065
AZ,254.787938225175,0.0,254.828792354004,0.0,257.595275452299,0.0,260.148005213826,0.0,260.448287236627,0.0,262.769391809157,0.0,262.957456729335,0.0,259.480352131611
AR,257.691731885046,0.0,257.96099580386,0.0,258.048580163614,0.0,259.140937770185,0.0,261.964490796451,0.0,258.768267976658,0.0,259.95579848311,0.0,258.78275377192
CA,250.431056381298,0.0,251.287791535591,0.0,252.631380782334,0.0,254.935218336086,0.0,261.502455658701,0.0,258.986842564294,0.0,262.520630021396,0.0,258.829734032213
CO,264.758106095045,0.0,266.407881623504,0.0,265.51311994428,0.0,270.636204320649,0.0,271.009086942572,0.0,268.073225333677,0.0,270.338688509674,0.0,267.307705573783
CT,264.012759246181,0.0,267.055691390062,0.0,271.810133169712,0.0,274.681399470751,0.0,274.459542474537,0.0,273.048030410963,0.0,272.537711456234,0.0,269.719107358588
DC,238.20309296003,0.0,240.793624795109,0.0,242.490424305314,0.0,242.056368171996,0.0,247.739153738325,0.0,247.653444946724,0.0,246.78775540229,0.0,249.81439917522
DE,266.00936537348,0.0,264.544830664544,0.0,264.998966063101,0.0,265.83947553632,0.0,265.984981498562,0.0,262.613290731544,0.0,263.089089818878,0.0,259.679402371344
FL,255.779970004926,0.0,259.790720651776,0.0,264.362040854787,0.0,262.121374840411,0.0,265.828297127322,0.0,263.383001406664,0.0,266.553368977303,0.0,263.352557734343
GA,256.872381537265,0.0,258.70499279234,0.0,260.244524519648,0.0,262.358643383963,0.0,264.615713463699,0.0,262.268605314622,0.0,266.33044082589,0.0,262.386099206627
HI,248.505423021221,0.0,251.330810691924,0.0,254.738979931593,0.0,257.188010446519,0.0,259.960569546835,0.0,257.35043981355,0.0,260.982318855375,0.0,258.159133626579
ID,264.301743791415,0.0,264.886342446047,0.0,264.837184984886,0.0,268.014671593394,0.0,270.224168550562,0.0,268.553479550783,0.0,269.673095440861,0.0,266.48281590721
IL,263.517029687837,0.0,262.826617097915,0.0,264.514002261585,0.0,265.643729382276,0.0,266.898720958132,0.0,266.806728332711,0.0,266.928549776657,0.0,264.695664812992
IN,261.013686455544,0.0,264.095960900362,0.0,265.69124060951,0.0,264.729844537772,0.0,267.272974657765,0.0,268.253467680035,0.0,272.023875675737,0.0,265.954997612053
IA,267.003171685311,0.0,267.450719560442,0.0,264.888126041644,0.0,264.554527461826,0.0,269.003449619325,0.0,268.200596266662,0.0,267.675678851787,0.0,262.329032641702
KS,266.831233242163,0.0,267.413790936682,0.0,266.799519310717,0.0,267.336395789343,0.0,266.887523609855,0.0,266.76553060986,0.0,267.490027797007,0.0,262.819050847892
KY,263.938418419941,0.0,261.965950993654,0.0,266.854019810768,0.0,268.833963566714,0.0,269.616471686598,0.0,267.772900145423,0.0,265.133438043566,0.0,262.9635373774
LA,252.691593269226,0.0,253.238294281289,0.0,253.329004007468,0.0,254.688347843905,0.0,257.351242737394,0.0,255.469417777569,0.0,256.751471206395,0.0,257.421808574891
ME,269.983443790132,0.0,269.920153818638,0.0,267.706499608477,0.0,269.872413013173,0.0,269.193764016326,0.0,268.391236298695,0.0,268.93063240911,0.0,265.168656113462
MD,260.78238344543,0.0,265.240121492132,0.0,267.298056489004,0.0,271.222896649808,0.0,273.801903090503,0.0,267.905529723763,0.0,267.250532713498,0.0,264.389022442559
MA,273.716062946534,0.0,273.284048809294,0.0,273.589289718711,0.0,275.36851762846,0.0,277.009559086016,0.0,274.497568115749,0.0,277.782588599843,0.0,273.113031464996
MI,261.138472348508,0.0,260.317706092973,0.0,261.898150017122,0.0,265.194041240472,0.0,265.942963067388,0.0,264.496755061626,0.0,265.468927541301,0.0,262.579893670719
MN,268.356672871089,0.0,268.197442761373,0.0,269.739820132507,0.0,270.148960241064,0.0,271.019654579448,0.0,270.236817756262,0.0,268.616822331955,0.0,263.813360590386
MS,250.530668896407,0.0,250.063570104392,0.0,251.305654614612,0.0,253.833440432713,0.0,253.147818177655,0.0,251.976165209278,0.0,256.344701137275,0.0,256.380475226081
MO,264.659368767086,0.0,263.442315999206,0.0,266.876460156868,0.0,266.762051349691,0.0,267.215011778953,0.0,266.876351831946,0.0,266.035006915021,0.0,263.292024270598
MT,269.224129746888,0.0,270.937849960978,0.0,270.393925995333,0.0,272.874140765607,0.0,271.765782480696,0.0,269.956777592733,0.0,267.208219320757,0.0,264.831687514546
NE,267.455694338449,0.0,267.030850555401,0.0,267.067856574245,0.0,267.703865188972,0.0,269.221914635868,0.0,269.426210864772,0.0,268.528555260402,0.0,263.989105578988
NV,252.86906252292,0.0,252.348473866768,0.0,253.84095441963,0.0,258.19326424884,0.0,261.695982235772,0.0,259.417376365165,0.0,259.806407268129,0.0,258.075061709817
NH,269.651270332586,0.0,269.734588561039,0.0,270.748158823326,0.0,272.078626455018,0.0,274.307731748779,0.0,274.8067462817,0.0,274.786039733195,0.0,267.950506818944
NJ,269.423228138126,0.0,270.141550284263,0.0,272.80263385761,0.0,275.183164316271,0.0,276.37798779341,0.0,270.85371153053,0.0,275.04455230693,0.0,270.357938474977
NM,251.033330748445,0.0,250.75317445253,0.0,254.129173669956,0.0,255.86163460115,0.0,255.870077046042,0.0,253.227767643793,0.0,255.578543060787,0.0,251.699591686589
NY,265.138561817316,0.0,263.54571646767,0.0,264.288057457975,0.0,265.69702830715,0.0,266.346063235407,0.0,263.247658592835,0.0,264.15758419309,0.0,261.75214468338
NC,258.160185489234,0.0,259.136703088411,0.0,259.528486560755,0.0,262.928956255321,0.0,264.540999710832,0.0,260.594556550199,0.0,262.720476897929,0.0,262.530279226334
