,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL,201.018005371094,0.0,204.931997680664,0.0,208.166000366211,0.0,214.956002807618,0.0,213.310999298096,0.0,215.108499908447,0.0,209.2875,0.0,203.211000823975
AK,212.573999023437,0.0,212.00599975586,0.0,215.395999145508,0.0,213.291998291016,0.0,212.248500061035,0.0,209.638500213623,0.0,209.513499450684,0.0,200.848500061035
AZ,208.882000732422,0.0,207.251998901367,0.0,208.229998779297,0.0,214.595999145508,0.0,217.422498321533,0.0,218.562998962402,0.0,218.913498687744,0.0,211.623498535156
AR,211.133996582031,0.0,213.848001098633,0.0,210.354000854492,0.0,213.081997680664,0.0,216.48150100708,0.0,212.004000091553,0.0,212.432501220703,0.0,206.630999755859
CA,201.877996826172,0.0,201.595999145508,0.0,202.646002197266,0.0,206.915997314453,0.0,216.330500030518,0.0,209.902500152588,0.0,212.701498413086,0.0,205.760999298096
CO,220.198001098633,0.0,224.304000854492,0.0,223.997994995117,0.0,226.784002685547,0.0,227.95299911499,0.0,222.885498809815,0.0,223.55650177002,0.0,219.725500488281
CT,216.726000976563,0.0,220.051998901367,0.0,225.486001586914,0.0,230.242001342773,0.0,228.728499603271,0.0,226.98450088501,0.0,224.546999359131,0.0,220.618999481201
DC,190.98200378418,0.0,196.426000976563,0.0,196.104000854492,0.0,188.966000366211,0.0,200.113999938965,0.0,197.744999694824,0.0,192.791999816895,0.0,194.305500030518
DE,229.530001831055,0.0,224.244003295899,0.0,225.744003295899,0.0,223.100003051758,0.0,222.748001098633,0.0,216.731999206543,0.0,213.951498413086,0.0,206.754500579834
FL,207.106002807617,0.0,214.831997680664,0.0,222.263998413086,0.0,218.357998657227,0.0,222.853499603271,0.0,221.770499420166,0.0,221.425997924805,0.0,212.925
GA,211.318002319336,0.0,215.119998168945,0.0,217.667999267578,0.0,222.809997558594,0.0,221.824501037598,0.0,216.933999633789,0.0,220.147999572754,0.0,213.535500335693
HI,202.036001586914,0.0,205.696005249023,0.0,210.384002685547,0.0,209.268002319336,0.0,213.628999328613,0.0,210.942499542236,0.0,212.875000762939,0.0,206.576999664307
ID,220.599996948242,0.0,224.204000854492,0.0,222.019998168945,0.0,228.966000366211,0.0,228.90599975586,0.0,226.682499694824,0.0,228.511498260498,0.0,217.874000549316
IL,220.179998779297,0.0,220.198004150391,0.0,220.645999145508,0.0,221.895999145508,0.0,221.338500213623,0.0,223.046501159668,0.0,220.456001281738,0.0,214.787999725342
IN,216.419995117188,0.0,222.187997436524,0.0,225.28200378418,0.0,223.689999389648,0.0,226.183499145508,0.0,224.729998779297,0.0,229.737501525879,0.0,216.001499938965
IA,225.974002075195,0.0,225.3,0.0,223.376000976563,0.0,221.303997802734,0.0,228.289499664307,0.0,228.13399887085,0.0,223.453499603272,0.0,214.069000244141
KS,224.440002441406,0.0,227.394000244141,0.0,228.011999511719,0.0,225.654000854492,0.0,221.933500671387,0.0,223.353501129151,0.0,221.815000152588,0.0,215.593500518799
KY,221.173999023437,0.0,219.94400024414,0.0,226.166000366211,0.0,227.452001953125,0.0,226.202499389648,0.0,223.456500244141,0.0,218.795500183105,0.0,212.598498535156
LA,209.196002197266,0.0,211.32799987793,0.0,210.185998535156,0.0,210.226000976563,0.0,214.605498504639,0.0,210.195997619629,0.0,210.542499542236,0.0,209.120500946045
ME,228.19599609375,0.0,231.497998046875,0.0,227.028002929688,0.0,226.108001708984,0.0,224.808000946045,0.0,228.743000030518,0.0,221.243500518799,0.0,215.798997497559
MD,213.882000732422,0.0,221.87200012207,0.0,222.776000976563,0.0,226.897998046875,0.0,230.937998199463,0.0,221.680500793457,0.0,216.838999176025,0.0,211.040501403809
MA,229.855999755859,0.0,231.941998291016,0.0,230.620001220703,0.0,232.168002319336,0.0,231.395001983643,0.0,228.952500152588,0.0,231.893000793457,0.0,223.915500640869
MI,216.935998535156,0.0,215.834002685547,0.0,216.07200012207,0.0,223.700003051758,0.0,224.000499725342,0.0,221.60899887085,0.0,219.614999389648,0.0,216.396999359131
MN,225.935998535156,0.0,226.57600402832,0.0,228.007998657227,0.0,225.957998657226,0.0,227.487001037598,0.0,226.308499908447,0.0,220.943497467041,0.0,213.901500701904
MS,207.425994873047,0.0,207.123999023438,0.0,206.774002075195,0.0,209.460000610352,0.0,209.938000488281,0.0,207.928500366211,0.0,210.083999633789,0.0,209.275999450684
MO,223.294000244141,0.0,219.630001831055,0.0,226.441998291016,0.0,223.435998535156,0.0,223.595499420166,0.0,221.948500061035,0.0,220.869999694824,0.0,213.988001251221
MT,229.911999511719,0.0,233.007998657227,0.0,232.813998413086,0.0,235.034002685547,0.0,231.453498840332,0.0,230.967001342774,0.0,224.95350112915,0.0,218.061500549316
NE,226.005999755859,0.0,225.4,0.0,226.951998901367,0.0,226.860000610352,0.0,228.067999267578,0.0,227.272501373291,0.0,223.184499359131,0.0,216.542501068115
NV,204.483999633789,0.0,203.960000610351,0.0,208.303997802734,0.0,212.327996826172,0.0,215.459999084473,0.0,214.418999481201,0.0,213.804000854492,0.0,206.569998168945
NH,226.482000732422,0.0,229.510003662109,0.0,228.777996826172,0.0,233.32200012207,0.0,231.866500854492,0.0,234.101499176025,0.0,230.948500061035,0.0,222.200500488281
NJ,225.726000976562,0.0,227.057998657227,0.0,231.193997192383,0.0,232.923999023438,0.0,234.648001098633,0.0,225.025,0.0,225.96900100708,0.0,214.882498931885
NM,206.198001098633,0.0,207.45,0.0,209.13200378418,0.0,212.559997558594,0.0,214.067500305176,0.0,209.144500732422,0.0,207.933999633789,0.0,199.150498199463
NY,219.992001342773,0.0,217.988000488281,0.0,219.010000610352,0.0,219.801998901367,0.0,219.821001434326,0.0,214.805001068115,0.0,214.573500061035,0.0,210.491499328613
NC,211.739999389649,0.0,212.1,0.0,212.307995605469,0.0,219.176000976562,0.0,219.789499664307,0.0,210.524001312256,0.0,213.020001983643,0.0,211.857499694824
ND,232.767999267578,0.0,233.877996826172,0.0,236.133999633789,0.0,232.829998779297,0.0,229.581999969483,0.0,227.888500976563,0.0,222.066000366211,0.0,218.26549987793
OH,222.657998657227,0.0,226.066000366211,0.0,226.094000244141,0.0,225.182000732422,0.0,223.802500152588,0.0,219.983999633789,0.0,219.021499633789,0.0,216.954000091553
OK,218.614001464844,0.0,216.77600402832,0.0,217.735998535156,0.0,217.453997802735,0.0,219.771499633789,0.0,221.013999176025,0.0,218.21250076294,0.0,213.016500091553
OR,216.865997314453,0.0,221.448001098633,0.0,220.383999633789,0.0,219.409997558594,0.0,225.316999816895,0.0,224.466499328613,0.0,217.757499694824,0.0,213.556001281738
PA,220.439999389649,0.0,223.219998168945,0.0,227.796002197266,0.0,221.02399597168,0.0,227.031500244141,0.0,221.903999328613,0.0,220.989499664307,0.0,213.051000213623
RI,215.059997558594,0.0,211.296002197266,0.0,215.718005371094,0.0,220.350003051758,0.0,220.630501556397,0.0,218.077001953125,0.0,214.002500152588,0.0,206.924000549316
SC,212.726000976562,0.0,214.730001831054,0.0,213.324002075195,0.0,218.202001953125,0.0,217.056999206543,0.0,216.191999816895,0.0,210.52449798584,0.0,209.740498352051
SD,230.837997436524,0.0,232.081997680664,0.0,233.509997558594,0.0,230.561999511719,0.0,227.802998352051,0.0,226.698501586914,0.0,224.37149887085,0.0,216.646499633789
TN,216.184002685547,0.0,217.002001953125,0.0,218.420001220703,0.0,213.372000122071,0.0,222.322500610352,0.0,219.899998474121,0.0,215.626998901367,0.0,214.74049987793
TX,211.964001464844,0.0,217.791998291016,0.0,217.813998413086,0.0,221.507998657227,0.0,221.686000061035,0.0,216.094999694824,0.0,215.476000976563,0.0,207.059499359131
UT,217.408001708984,0.0,218.117999267578,0.0,223.955999755859,0.0,223.574002075195,0.0,226.675999450684,0.0,226.595500183105,0.0,223.98450012207,0.0,219.179000854492
VT,225.6,0.0,233.67200012207,0.0,232.717999267578,0.0,227.831997680664,0.0,230.506499481201,0.0,230.551500701904,0.0,226.40599899292,0.0,216.672499847412
VA,225.061999511719,0.0,226.47200012207,0.0,224.516003417969,0.0,223.540002441406,0.0,223.072500610352,0.0,221.70899887085,0.0,220.616499328613,0.0,208.957999420166
WA,217.892001342774,0.0,220.389999389648,0.0,222.404000854492,0.0,221.221997070312,0.0,226.804500579834,0.0,219.718999481201,0.0,224.889998626709,0.0,212.239498901367
WV,210.811999511719,0.0,208.384002685547,0.0,209.313998413086,0.0,211.489996337891,0.0,211.122500610352,0.0,216.719998931885,0.0,210.367000579834,0.0,205.795999145508
