,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL,37.8592731852188,0.0,35.8697186436563,0.0,35.301961979209,0.0,34.0201607933496,0.0,34.1899121213656,0.0,34.2380958662915,0.0,36.4201149243048,0.0,37.537782848648
AK,34.3044942091306,0.0,35.3408703819113,0.0,33.9611934566609,0.0,36.5827148420448,0.0,36.3408835902375,0.0,37.6911327688475,0.0,35.0468840858457,0.0,38.4586329416747
AZ,34.5802988308796,0.0,36.3883804069456,0.0,37.063950314417,0.0,34.8434886636316,0.0,33.7963967187962,0.0,34.0643748816012,0.0,33.6043863109653,0.0,36.2994153398381
AR,34.9535621847805,0.0,33.7099461840829,0.0,36.0166890208038,0.0,34.9089948506908,0.0,34.9408759141832,0.0,34.9666951583328,0.0,35.6000754396692,0.0,38.9245394743929
CA,36.6362680259623,0.0,37.8064239295778,0.0,37.5575279150831,0.0,36.9232345951111,0.0,34.839360749641,0.0,36.655230485403,0.0,37.241100654918,0.0,39.2142258669859
CO,33.7281464936792,0.0,32.071403655023,0.0,32.1214728733586,0.0,33.5022423866971,0.0,33.185484518732,0.0,33.9358460958069,0.0,35.7583491562458,0.0,36.817396006396
CT,35.986585904907,0.0,36.0592486378004,0.0,34.1052442359745,0.0,33.4058377127699,0.0,34.5872994292696,0.0,35.4295857648377,0.0,36.5498202478365,0.0,37.0898528892156
DC,36.7459602180949,0.0,35.0192001393655,0.0,35.9721879958924,0.0,40.051219759371,0.0,36.6523787547168,0.0,38.5033202969872,0.0,41.6395182970557,0.0,43.0512091557453
DE,28.579425555744,0.0,30.9345462690438,0.0,30.013609780611,0.0,32.4980081154776,0.0,33.400167019659,0.0,35.3152952352123,0.0,36.5000241769264,0.0,39.6426390231428
FL,36.3937126300233,0.0,34.9788875014668,0.0,32.6976510514033,0.0,33.4225366524466,0.0,33.1058809950344,0.0,32.1471890419277,0.0,33.835064455154,0.0,37.9669207809145
